run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.6,0.6,0.0,4.102,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,1,separate_paren_groups,1,1,0.0,0.0,0.0,2.255,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,2,truncate_number,1,1,0.6,0.6,0.0,4.043,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,3,below_zero,1,1,0.9,0.0,0.9,7.217,1,1,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.6,0.6,0.0,3.237,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,5,intersperse,1,1,0.6,0.6,0.0,3.652,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,6,parse_nested_parens,1,1,0.6,0.0,0.6,2.871,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.9,0.0,0.9,7.587,1,1,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,2.107,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.9,0.7,0.2,11.277,1,1,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.7,0.7,0.0,14.53,1,0,1,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,11,string_xor,1,1,0.7,0.7,0.0,14.317,1,0,1,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,12,longest,1,1,0.7,0.0,0.7,8.071,1,1,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,13,greatest_common_divisor,1,1,0.0,0.0,0.0,1.965,0,0,0,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,14,all_prefixes,1,1,0.9,0.9,0.0,13.197,1,0,1,1
20260505_145114,llama31_trial3,with_monitoring,0.0,0.6,15,string_sequence,1,1,0.6,0.6,0.0,3.31,0,0,0,1
